#separator:tab
#html:false
tankesmedja	opinionsbildande idégrupp
kontinuitet	fortlöpande sammanhang
vansklig	besvärlig
potpurri	blandning
tinga	beställa i förväg
stamma	ha sitt ursprung
försumbar	Så liten eller obetydlig att den kan bortses ifrån.  Obetydlig, liten, minimal, ringa, marginell, trivial, negligerbar  Kostnaden för materialet var försumbar i jämförelse med arbetskostnaden.
balsamisk	välluktande
verbalisera	uttrycka med ord
försoning	förlikning
mission	kyrklig trosspridning
hattig	obeslutsam
giro	betalningssystem
kreditera	tillgodoräkna; berömma
tariff	pris; prislista
rännil	liten bäck
inrådan	uppmaning
repulsiv	frånstötande
ontologi	läran om varandet
episk	berättande
streber	karriärslysten person
annex	sidobyggnad
deponera	lämna i förvar
bildad	kunnig
vittgående	omfattande
rysch	rynkad kläddekoration
paletå	en slags överrock
gast	besättningsman
kverulant	gnällspik
nonsens	strunt
dyschatell	en liggsoffa
töcknig	dimmig
hugad	intresserad
vind för våg	utan kontroll
sprättig	snobbig och mallig
råk	spricka i isen
bolster	ett slags kudde, täcke
ruelse	djup ånger
presumtiv	förmodad
abrovink	listig lösning
recitation	uppläsning
till hands	inom räckhåll
oavvislig	nödvändig och ofrånkomlig
reflektion	begrundan
bondfångare	bedragare
alienera	främmandegöra
flanera	promenera planlöst
gnom	levnadsregel
kapitulation	vapennedläggning
brokig	blandad
till fromma för	till nytta för
